,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
97,The Box,Please Excuse Me for Being Antisocial,Roddy Ricch,2019-12-06,196652,84,0.896,0.104,0.586,0.0,0.79,-6.687,0.0559,116.971,4
98,Better Now,beerbongs & bentleys,Post Malone,2018-04-27,231266,81,0.68,0.331,0.578,0.0,0.135,-5.804,0.04,145.038,4
99,Happier Than Ever,Happier Than Ever,Billie Eilish,2021-07-30,298899,89,0.332,0.767,0.225,0.00349,0.128,-8.697,0.0348,81.055,3
100,Circles,Hollywood's Bleeding,Post Malone,2019-09-06,215280,87,0.695,0.192,0.762,0.00244,0.0863,-3.497,0.0395,120.042,4
101,MONTERO (Call Me By Your Name),MONTERO (Call Me By Your Name),Lil Nas X,2021-03-31,137875,97,0.61,0.297,0.508,0.0,0.384,-6.682,0.152,178.818,4
102,Castaways,The Backyardigans,The Backyardigans,2005-07-12,87706,72,0.756,0.784,0.211,8.65e-06,0.11,-17.646,0.409,81.253,4
103,Calling My Phone,Destined 2 Win,Lil Tjay,2021-04-02,205458,85,0.907,0.451,0.393,1.35e-06,0.135,-7.636,0.0539,104.949,4
104,favorite crime,SOUR,Olivia Rodrigo,2021-05-21,152666,91,0.369,0.866,0.272,0.0,0.147,-10.497,0.0364,172.929,4
105,Cupid's Chokehold / Breakfast in America,The Papercut Chronicles,Gym Class Heroes,2005-02-22,243773,81,0.72,0.237,0.744,0.0,0.255,-6.938,0.12,78.953,4
106,Come & Go (with Marshmello),Legends Never Die,Juice WRLD,2020-07-10,205484,82,0.625,0.0172,0.814,0.0,0.158,-5.181,0.0657,144.991,4
107,Motley Crew,Motley Crew,Post Malone,2021-07-09,184213,90,0.797,0.0904,0.631,3.71e-06,0.0998,-3.818,0.0786,129.915,4
108,Cloud 9,Honeymoon,Beach Bunny,2020-02-14,147350,82,0.637,0.00167,0.929,2.62e-05,0.344,-3.593,0.0491,80.974,4
109,Cigarette Daydreams,Melophobia,Cage The Elephant,2013-10-08,208760,79,0.636,0.0807,0.676,0.0,0.0831,-3.442,0.0263,113.98,4
110,Peaches (feat. Daniel Caesar & Giveon),Justice,Justin Bieber,2021-03-19,198081,95,0.677,0.321,0.696,0.0,0.42,-6.181,0.119,90.03,4
111,Crazy Rap (Colt 45 & 2 Zig Zags),The Good Times,Afroman,2001-08-28,328666,71,0.927,0.325,0.367,0.0,0.132,-7.797,0.382,99.053,4
112,Confident - Single Version,Family Pool Party,Various Artists,2021-08-11,248760,0,0.717,0.114,0.57,0.0,0.2,-5.459,0.161,134.018,4
113,Kiss Me More (feat. SZA),Kiss Me More (feat. SZA),Doja Cat,2021-04-09,208866,95,0.762,0.235,0.701,0.000158,0.123,-3.541,0.0286,110.968,4
114,Chicken Fried,The Foundation,Zac Brown Band,2008-11-17,238146,78,0.566,0.645,0.713,0.0,0.114,-4.25,0.0417,169.864,4
115,Miss The Rage (feat. Playboi Carti),Miss The Rage (feat. Playboi Carti),Trippie Redd,2021-05-07,236883,86,0.584,0.0144,0.859,0.0,0.847,-5.616,0.121,77.005,4
116,Chasing After You (with Maren Morris),Chasing After You (with Maren Morris),Ryan Hurd,2021-02-12,207973,77,0.596,0.723,0.679,0.0,0.116,-6.395,0.0394,131.912,4
117,Beggin',Chosen,Måneskin,2017-12-08,211560,100,0.714,0.127,0.8,0.0,0.359,-4.808,0.0504,134.002,4
118,Chasin' You,If I Know Me,Morgan Wallen,2018-04-27,205453,76,0.631,0.657,0.591,0.0,0.11,-5.785,0.0277,97.074,4
119,Ain't Shit,Planet Her,Doja Cat,2021-06-25,174253,90,0.855,0.506,0.488,0.0,0.347,-4.601,0.208,124.097,4
120,Congratulations,Stoney (Deluxe),Post Malone,2016-12-09,220293,82,0.63,0.215,0.804,0.0,0.253,-4.183,0.0363,123.146,4
121,EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),KHALED KHALED,DJ Khaled,2021-04-30,236524,83,0.477,0.000866,0.727,0.0,0.108,-4.053,0.286,150.062,4
122,Classic,MKTO,MKTO,2012,175426,79,0.72,0.0384,0.791,0.0,0.157,-4.689,0.124,102.071,4
123,Best Friend (feat. Doja Cat),Best Friend (feat. Doja Cat),Saweetie,2021-01-07,155883,84,0.84,0.00302,0.766,3.61e-06,0.0684,-4.12,0.136,94.018,4
